Year,Month,Senate,partisan_conflict,Congress,Government,Protest,Republican,Democrat
2004,January,14,91.09,79,54,3,18,16
2004,February,17,98.55,93,54,3,18,14
2004,March,19,92.53,92,51,5,19,12
2004,April,15,85.33,84,54,5,16,12
2004,May,14,84.51,80,49,5,19,11
2004,June,16,105,70,44,3,22,13
2004,July,20,88.16,78,43,4,43,19
2004,August,16,79.77,72,43,7,52,17
2004,September,20,123.41,87,53,4,50,18
2004,October,27,106.32,100,54,4,47,23
2004,November,24,69.95,91,51,5,32,21
2004,December,10,88.54,65,42,3,11,11
2005,January,15,90.72,70,49,4,12,11
2005,February,15,100.07,67,49,3,13,11
2005,March,16,111.95,78,48,4,12,10
2005,April,16,121.22,80,48,4,11,11
2005,May,17,100.31,66,46,4,12,11
2005,June,13,94.77,62,39,3,11,11
2005,July,12,64.2,62,37,2,10,10
2005,August,9,61.45,55,36,3,9,11
2005,September,14,74.39,74,45,5,13,13
2005,October,13,83.7,68,42,3,14,11
2005,November,15,79.07,67,40,4,14,12
2005,December,11,86.08,61,33,3,10,10
2006,January,14,83.08,64,42,3,11,11
2006,February,13,91.49,64,41,4,12,11
2006,March,14,92.17,66,43,6,12,12
2006,April,14,86.03,64,40,7,11,11
2006,May,14,83.67,63,39,6,11,11
2006,June,14,81.83,57,33,3,10,12
2006,July,11,74.16,55,30,3,9,11
2006,August,11,74.11,50,33,2,9,12
2006,September,15,80.16,62,36,3,12,12
2006,October,21,82.05,93,39,4,18,15
2006,November,34,59.19,90,35,3,19,16
2006,December,9,80.07,48,29,2,8,10
2007,January,11,72.7,65,36,3,10,12
2007,February,11,85.44,59,36,2,10,12
2007,March,11,84.54,57,34,4,10,10
2007,April,10,96.27,53,35,3,10,12
2007,May,11,88.76,51,34,4,14,10
2007,June,12,82.31,42,28,2,11,12
2007,July,9,72.01,45,28,2,9,10
2007,August,7,80.82,44,28,2,10,11
2007,September,10,88.88,55,34,4,12,11
2007,October,10,80.14,63,36,3,15,11
2007,November,9,86.54,60,33,3,15,12
2007,December,8,84.85,48,27,3,15,11
2008,January,8,82.48,54,34,3,32,18
2008,February,12,90.87,66,36,4,25,19
2008,March,10,85.52,58,35,4,13,13
2008,April,10,91.35,58,38,5,10,10
2008,May,10,81.53,54,36,4,11,12
2008,June,10,80.42,51,29,2,10,11
2008,July,9,75.02,48,27,2,11,11
2008,August,8,83.55,47,27,3,22,12
2008,September,15,93,80,37,3,43,16
2008,October,22,94.96,93,39,3,32,20
2008,November,33,73.85,79,34,6,22,17
2008,December,15,78.77,50,31,3,7,9
2009,January,15,88.55,58,35,3,9,10
2009,February,19,88.04,73,40,3,11,10
2009,March,13,88.31,62,38,4,9,10
2009,April,11,89.17,52,34,5,9,10
2009,May,10,96.26,48,32,4,8,10
2009,June,12,102.66,46,31,4,8,11
2009,July,11,78.67,51,31,2,8,9
2009,August,9,86.18,53,30,3,7,10
